vertex.names,Nickname,City,State.1.,Enrollment,CurrentConference,FormerConferences,FirstPlayed,JoinedFBS,Level
Bethune-Cookman,Wildcats,Daytona Beach,Florida,NA,MEAC[a],NA,1925,,FCS
Brown,Bears,Providence,Rhode Island,NA,Ivy,NA,1878,,FCS
Bryant,Bulldogs,Smithfield,Rhode Island,NA,Northeast,NA,1999,,FCS
Bucknell,Bison,Lewisburg,Pennsylvania,NA,Patriot,NA,1883,,FCS
Butler,Bulldogs,Indianapolis,Indiana,NA,Pioneer,NA,1887,,FCS
Cal Poly,Mustangs,San Luis Obispo,California,NA,Big Sky,NA,1915,,FCS
Campbell,Fighting Camels,Buies Creek,North Carolina,NA,Big South,NA,1925,,FCS
Central Arkansas,Bears,Conway,Arkansas,NA,Southland,NA,1908,,FCS
Central Connecticut,Blue Devils,New Britain,Connecticut,NA,Northeast,NA,1935,,FCS
Charleston Southern,Buccaneers,North Charleston,South Carolina,NA,Big South,NA,1985,,FCS
Chattanooga,Mocs,Chattanooga,Tennessee,NA,Southern,NA,1899,,FCS
Citadel,Bulldogs,Charleston,South Carolina,NA,Southern,NA,1905,,FCS
Colgate,Raiders,Hamilton,New York,NA,Patriot,NA,1890,,FCS
Columbia,Lions,New York,New York,NA,Ivy,NA,1870,,FCS
Cornell,Big Red,Ithaca,New York,NA,Ivy,NA,1887,,FCS
Dartmouth,Big Green,Hanover,New Hampshire,NA,Ivy,NA,1881,,FCS
Davidson,Wildcats,Davidson,North Carolina,NA,Pioneer,NA,1896,,FCS
Dayton,Flyers,Dayton,Ohio,NA,Pioneer,NA,1903,,FCS
Delaware,Fightin' Blue Hens,Newark,Delaware,NA,CAA,NA,1888,,FCS
Delaware State,Hornets,Dover,Delaware,NA,MEAC,NA,1924,,FCS
Drake,Bulldogs,Des Moines,Iowa,NA,Pioneer,NA,1893,,FCS
Duquesne,Dukes,Pittsburgh,Pennsylvania,NA,Northeast,NA,1891,,FCS
East Tennessee State,Buccaneers,Johnson City,Tennessee,NA,Southern,NA,1920,,FCS
Eastern Illinois,Panthers,Charleston,Illinois,NA,Ohio Valley,NA,1899,,FCS
Eastern Kentucky,Colonels,Richmond,Kentucky,NA,Ohio Valley,NA,1906,,FCS
Eastern Washington,Eagles,Cheney,Washington,NA,Big Sky,NA,1901,,FCS
Elon,Phoenix,Elon,North Carolina,NA,CAA,NA,1909,,FCS
Florida A&M,Rattlers,Tallahassee,Florida,NA,MEAC[a],NA,1907,,FCS
Fordham,Rams,New York,New York,NA,Patriot,NA,1881,,FCS
Furman,Paladins,Greenville,South Carolina,NA,Southern,NA,1889,,FCS
Gardner-Webb,Runnin' Bulldogs,Boiling Springs,North Carolina,NA,Big South,NA,1946,,FCS
Georgetown,Hoyas,Washington,D.C.,NA,Patriot,NA,1881,,FCS
Grambling State,Tigers,Grambling,Louisiana,NA,SWAC,NA,1927,,FCS
Hampton,Pirates,Hampton,Virginia,NA,Big South,NA,1902,,FCS
Harvard,Crimson,Cambridge[b],Massachusetts,NA,Ivy,NA,1873,,FCS
Holy Cross,Crusaders,Worcester,Massachusetts,NA,Patriot,NA,1891,,FCS
Houston Baptist,Huskies,Houston,Texas,NA,Southland,NA,2013,,FCS
Howard,Bison,Washington,D.C.,NA,MEAC,NA,1882,,FCS
Idaho,Vandals,Moscow,Idaho,NA,Big Sky[c],NA,1893,,FCS
Idaho State,Bengals,Pocatello,Idaho,NA,Big Sky,NA,1902,,FCS
Illinois State,Redbirds,Normal,Illinois,NA,Missouri Valley,NA,1887,,FCS
Incarnate Word,Cardinals,San Antonio,Texas,NA,Southland,NA,2009,,FCS
Indiana State,Sycamores,Terre Haute,Indiana,NA,Missouri Valley,NA,1895,,FCS
Jackson State,Tigers,Jackson,Mississippi,NA,SWAC,NA,1911,,FCS
Jacksonville State,Gamecocks,Jacksonville,Alabama,NA,Ohio Valley,NA,1904,,FCS
James Madison,Dukes,Harrisonburg,Virginia,NA,CAA,NA,1972,,FCS
Kennesaw State,Owls,Kennesaw,Georgia,NA,Big South,NA,2015,,FCS
Lafayette,Leopards,Easton,Pennsylvania,NA,Patriot,NA,1882,,FCS
Lamar,Cardinals,Beaumont,Texas,NA,Southland,NA,19232009,,FCS
Lehigh,Mountain Hawks,Bethlehem,Pennsylvania,NA,Patriot,NA,1884,,FCS
LIU[d],Sharks,Brookville,New York,NA,Northeast,NA,1957[e],,FCS
Maine,Black Bears,Orono,Maine,NA,CAA,NA,1892,,FCS
Marist,Red Foxes,Poughkeepsie,New York,NA,Pioneer,NA,1965,,FCS
McNeese State,Cowboys,Lake Charles,Louisiana,NA,Southland,NA,1950,,FCS
Mercer,Bears,Macon,Georgia,NA,Southern,NA,18912013,,FCS
Mississippi Valley State,Delta Devils,Itta Bena,Mississippi,NA,SWAC,NA,1953,,FCS
Missouri State,Bears,Springfield,Missouri,NA,Missouri Valley,NA,1909,,FCS
Monmouth,Hawks,West Long Branch,New Jersey,NA,Big South,NA,1993,,FCS
Montana,Grizzlies,Missoula,Montana,NA,Big Sky,NA,1897,,FCS
Montana State,Bobcats,Bozeman,Montana,NA,Big Sky,NA,1897,,FCS
Morehead State,Eagles,Morehead,Kentucky,NA,Pioneer,NA,1924,,FCS
Morgan State,Bears,Baltimore,Maryland,NA,MEAC,NA,1897,,FCS
