CFS,DATE,NATURE CODE,ADDRESS,XCOORD,YCOORD,DOW
030710-31,3/7/2010  3:15:18 AM,MUSIC,208 NW 21ST ST,7478701.5000 ,341503.9375 ,SUN
030710-148,3/7/2010  9:54:33 PM,SRN,2445 SW LEONARD ST,7480034.5000 ,331612.7813 ,SUN
030910-226,3/9/2010  9:39:25 PM,MUSIC,2837 SW WESTERN BV,7476846.0000 ,337051.6875 ,TUE
031010-21,3/10/2010  1:54:12 AM,MUSIC,202 NW 15TH ST,7479697.0000 ,341198.6875 ,WED
031010-30,3/10/2010  3:35:44 AM,PARTY,1462 NW TYLER AV,7480172.0000 ,342176.7188 ,WED
031110-25,3/11/2010  2:45:51 AM,MUSIC,408 SW MONROE AV,7482372.5000 ,339683.9688 ,THU
031110-187,3/11/2010  11:46:22 PM,PARTY,962 NW VAN BUREN AV,7481136.0000 ,340983.2500 ,THU
031210-2,3/12/2010  12:04:07 AM,MUSIC,1015 NW MONROE AV,7480721.0000 ,340357.8750 ,FRI
031210-237,3/12/2010  11:21:46 PM,SRN,231 NW 11TH ST,7480693.0000 ,340890.3750 ,FRI
031210-245,3/12/2010  11:42:30 PM,SRN,1131 SW IVY PL,7474091.0000 ,336872.3125 ,FRI
031310-24,3/13/2010  1:54:03 AM,SRN,204 NW KINGS BV,7479036.0000 ,341447.3438 ,SAT
031410-11,3/14/2010  1:14:27 AM,PARTY,419 NW 26TH ST,7477777.5000 ,342514.1250 ,SUN
031410-183,3/14/2010  10:14:50 PM,MUSIC,420 NW 9TH ST,7481482.5000 ,341349.1563 ,SUN
031510-6,3/15/2010  12:43:05 AM,MUSIC,1368 NW DREAM PL,7479438.5000 ,345149.5625 ,MON
031510-182,3/15/2010  6:39:53 PM,PARTY,915 SW ADAMS AV,7480578.0000 ,339186.7500 ,MON
031610-11,3/16/2010  12:36:00 AM,MUSIC,2101 NW GRANT AV,7478793.5000 ,344911.5000 ,TUE
031610-223,3/16/2010  5:46:47 PM,SRN,2837 SW WESTERN BV,7476846.0000 ,337051.6875 ,TUE
031810-5,3/18/2010  12:31:09 AM,PARTY,451 SE LILLY AV,7482047.5000 ,333654.5625 ,THU
031810-55,3/18/2010  8:13:42 AM,MUSIC,2464 NW GARRYANNA DR,7480986.5000 ,350081.8125 ,THU
031910-20,3/19/2010  2:07:44 AM,SRN,2525 NW GRANT AV,7478057.0000 ,344947.9688 ,FRI
031910-28,3/19/2010  3:05:53 AM,SRN,780 NW 25TH ST,7478087.0000 ,343727.1875 ,FRI
031910-247,3/19/2010  11:15:01 PM,PARTY,2210 NW KINGS BV,7479043.5000 ,348781.6250 ,FRI
031910-253,3/19/2010  11:37:39 PM,PARTY,2893 NW GLENRIDGE DR,7472146.0000 ,351097.5625 ,FRI
032010-19,3/20/2010  1:02:58 AM,SRN,357 SW 11TH ST,7480152.0000 ,339518.3125 ,SAT
032010-131,3/20/2010  2:05:16 PM,MUSIC,NW MAXINE AV AND NW 9TH ST,7485954.0000 ,351612.0000 ,SAT
032010-193,3/20/2010  6:33:17 PM,MUSIC,1262 NW VAN BUREN AV,7480380.5000 ,341288.2813 ,SAT
032010-222,3/20/2010  10:11:15 PM,SRN,1260 NW VAN BUREN AV,7480385.5000 ,341286.5000 ,SAT
032010-224,3/20/2010  10:12:19 PM,SRN,426 NW 11TH ST,7480944.0000 ,341588.1563 ,SAT
032010-237,3/20/2010  11:08:16 PM,PARTY,NW WALNUT BV AND NW HIGHLAND DR,7482616.0000 ,350308.0000 ,SAT
032110-6,3/21/2010  12:19:31 AM,SRN,890 SE BAYSHORE CR,7482802.5000 ,326442.1250 ,SUN
032210-20,3/22/2010  2:43:27 AM,MUSIC,311 NW 4TH ST,7482721.0000 ,340419.8438 ,MON
032510-23,3/25/2010  3:56:15 AM,MUSIC,2430 SW LEONARD ST,7480016.5000 ,331653.7500 ,THU
032610-110,3/26/2010  12:39:17 PM,MUSIC,734 NW 13TH ST,7480856.0000 ,342781.0938 ,FRI
032610-284,3/26/2010  11:43:06 PM,PARTY,660 NW WALNUT BV,7484144.0000 ,350331.5000 ,SAT
032710-212,3/27/2010  11:48:35 PM,MUSIC,709 NW MERRIE DR,7474407.0000 ,343715.4688 ,SUN
032810-141,3/28/2010  7:23:06 PM,MUSIC,329 NW 21ST ST,7478732.5000 ,341961.8125 ,SUN
032810-180,3/28/2010  11:30:38 PM,SRN,325 NW 21ST ST,7478732.5000 ,341943.8125 ,SUN
033010-173,3/30/2010  9:54:51 PM,MUSIC,514 NW 21ST ST,7478725.0000 ,342730.2500 ,TUE
033110-227,3/31/2010  7:40:25 PM,MUSIC,400 SE LILLY AV,7481944.5000 ,333635.7188 ,WED
033110-257,3/31/2010  11:01:14 PM,PARTY,5246 SW TECHNOLOGY LP,7469440.5000 ,334603.6563 ,WED
033110-265,3/31/2010  11:39:03 PM,SRN,1015 NW MONROE AV,7480721.0000 ,340357.8750 ,WED
040110-15,4/1/2010  1:33:47 AM,PARTY,707 SW 10TH ST,7480236.5000 ,338372.7813 ,THU
040110-17,4/1/2010  1:54:20 AM,PARTY,NW 7TH ST AND NW JACKSON AV,7481732.0000 ,340356.0000 ,THU
040110-156,4/1/2010  2:30:05 PM,MUSIC,1205 NW 11TH ST,7482022.5000 ,344284.1875 ,THU
040110-182,4/1/2010  3:39:15 PM,MUSIC,804 NW 26TH ST,7477808.5000 ,343821.9375 ,THU
040110-260,4/1/2010  10:30:25 PM,PARTY,707 SW 10TH ST,7480236.5000 ,338372.7813 ,THU
040110-264,4/1/2010  11:06:36 PM,PARTY,1015 NW MONROE AV,7480721.0000 ,340357.8750 ,THU
040210-284,4/2/2010  10:44:14 PM,SRN,513 NW 17TH ST,7479631.5000 ,342445.1875 ,FRI
040210-293,4/2/2010  11:02:41 PM,SRN,105 SW 2ND ST,7482957.0000 ,339441.5000 ,FRI
040210-307,4/2/2010  11:53:54 PM,PARTY,2828 NW HAYES AV,7477306.5000 ,346048.7188 ,FRI
040310-26,4/3/2010  1:29:58 AM,SRN,660 NW WALNUT BV,7484144.0000 ,350331.5000 ,SAT
